[2026-08-20 14:51:10,264: INFO/MainProcess] beat: Starting...
[2026-08-20 14:55:35,509: INFO/MainProcess] beat: Starting...
[2026-08-20 14:58:23,028: INFO/MainProcess] beat: Starting...
[2026-08-21 19:22:04,790: INFO/MainProcess] beat: Starting...
[2026-08-21 19:22:08,927: ERROR/MainProcess] beat: Connection error: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.. Trying again in 2.0 seconds...
[2026-08-21 19:22:15,011: ERROR/MainProcess] beat: Connection error: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.. Trying again in 4.0 seconds...
[2026-08-21 19:22:23,057: ERROR/MainProcess] beat: Connection error: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.. Trying again in 6.0 seconds...
[2026-08-21 19:22:33,145: ERROR/MainProcess] beat: Connection error: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.. Trying again in 8.0 seconds...
[2026-08-21 19:22:45,220: ERROR/MainProcess] beat: Connection error: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.. Trying again in 10.0 seconds...
[2026-08-21 19:22:59,278: ERROR/MainProcess] beat: Connection error: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.. Trying again in 12.0 seconds...
[2026-08-21 19:23:15,324: ERROR/MainProcess] beat: Connection error: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.. Trying again in 14.0 seconds...
[2026-08-21 19:25:21,252: INFO/MainProcess] beat: Starting...
[2026-08-21 19:25:21,329: INFO/MainProcess] Scheduler: Sending due task scrape-meesho-every-6-hours (pipeline.task.scrape_meesho)
[2026-08-21 19:25:21,383: INFO/MainProcess] Scheduler: Sending due task scrape-myntra-every-6-hours (pipeline.task.scrape_myntra)
